Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
173,Exit long,2025-01-28 11:15,Exit Long,44910.9,46.78,2100805.596,126.31,0.01,3920.16,0.19,-851.4,-0.04,163183.75,81.59
173,Entry long,2025-01-28 10:30,Long,44908.2,46.78,2100805.596,126.31,0.01,3920.16,0.19,-851.4,-0.04,163183.75,81.59
174,Exit long,2025-02-07 10:00,Exit Long,44620.8,61.47,2755773.864,-12933.29,-0.47,331.94,0.01,-14211.86,-0.52,150250.45,75.13
174,Entry long,2025-02-07 09:45,Long,44831.2,61.47,2755773.864,-12933.29,-0.47,331.94,0.01,-14211.86,-0.52,150250.45,75.13
175,Exit long,2025-02-11 12:00,Exit Long,44467.1,58.56,2602734.336,1259.04,0.05,5586.62,0.21,-538.75,-0.02,151509.5,75.75
175,Entry long,2025-02-11 10:30,Long,44445.6,58.56,2602734.336,1259.04,0.05,5586.62,0.21,-538.75,-0.02,151509.5,75.75
176,Exit long,2025-03-14 12:00,Exit Long,41346.7,31.86,1316506.176,799.69,0.06,3804.08,0.29,-1312.63,-0.10,152309.19,76.15
176,Entry long,2025-03-14 10:45,Long,41321.6,31.86,1316506.176,799.69,0.06,3804.08,0.29,-1312.63,-0.10,152309.19,76.15
177,Exit long,2025-03-21 13:15,Exit Long,41925.6,28.98,1214876.376,127.51,0.01,2486.48,0.20,-1222.96,-0.10,152436.69,76.22
177,Entry long,2025-03-21 12:15,Long,41921.2,28.98,1214876.376,127.51,0.01,2486.48,0.20,-1222.96,-0.10,152436.69,76.22
178,Exit long,2025-04-01 12:30,Exit Long,42035.7,24.2,1015959.56,1304.38,0.13,4994.88,0.49,-585.64,-0.06,153741.08,76.87
178,Entry long,2025-04-01 10:45,Long,41981.8,24.2,1015959.56,1304.38,0.13,4994.88,0.49,-585.64,-0.06,153741.08,76.87
179,Exit long,2025-04-22 11:30,Exit Long,38945.4,33.62,1308692.12,652.23,0.05,3509.93,0.27,-1566.69,-0.12,154393.3,77.20
