exit_reason,pnl_price,bars_held,atr_at_entry,mfe_price,mae_price,mfe_R,mae_R,sim_R,sim_pnl_pct,timestamp_utc,block_atr,block_session,block_dow,block_warmup,block_body,block_prev_bullish,strategy,block_atr_cohort_n,block_session_cohort_n,block_dow_cohort_n,block_warmup_cohort_n,block_body_cohort_n,block_prev_bullish_cohort_n,thin_cohort_any,feed,panel_window,canonical_status,simulation_simplifications
stop_or_be,3.72106169534527,3,74.42123390691899,75.5,12.0,0.8115963257951918,0.12899544251049408,0.0399999999999927,0.0399999999999927,2022-05-13T00:30:00+00:00,1,1,0,1,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,3.2687353082983464,7,65.37470616597969,17.5,46.0,0.21415010209690938,0.5629088397975903,0.039999999999992195,0.039999999999992195,2022-05-13T01:15:00+00:00,1,1,0,1,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,2.4638334709561605,1,49.276669419159575,39.0,2.0,0.6331596751112593,0.03246972692878252,0.039999999999970476,0.039999999999970476,2022-05-13T03:15:00+00:00,1,1,0,1,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-60.65530615813623,2,48.5242449265087,0.5,87.5,0.008243301891782365,1.442577831061914,-1.0000000000000058,-1.0000000000000058,2022-05-13T03:30:00+00:00,1,1,0,1,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,2.4849327943047683,1,49.69865588612209,11.5,36.0,0.18511567035294849,0.5794925332787952,0.03999999999997849,0.03999999999997849,2022-05-13T11:45:00+00:00,1,1,0,1,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,3.4436469557404052,1,68.87293911479823,138.5,26.900000000001455,1.6087595712347524,0.3124594401892937,0.04000000000000574,0.04000000000000574,2022-05-13T14:00:00+00:00,1,0,0,0,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,3.8824063233987545,1,77.64812646799852,19.0,98.0,0.1957548841344478,1.0096830865882045,0.03999999999998793,0.03999999999998793,2022-05-13T14:15:00+00:00,1,0,0,0,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-102.55046997842874,3,82.04037598274188,2.5,179.90000000000146,0.024378240299882618,1.7542581719795673,-1.0000000000000135,-1.0000000000000135,2022-05-13T16:00:00+00:00,1,0,0,0,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,4.620208953067049,7,92.4041790613114,27.5,47.5,0.23808447002600075,0.4112368118630922,0.0400000000000128,0.0400000000000128,2022-05-15T22:00:00+00:00,0,1,1,1,0,1,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,2.7175655784158153,1,54.35131156830189,46.5,4.5,0.6844361051573101,0.06623575211199775,0.04000000000001061,0.04000000000001061,2022-05-16T08:00:00+00:00,1,1,1,1,0,1,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
