Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
61,Entry long,2023-03-03 11:45,Long,33248.5,34.6,1150398.1,3677.98,0.32,5501.4,0.48,-975.72,-0.08,35051.97,17.53
62,Exit long,2023-03-05 18:00,Exit Long Add,33354.8,121.4,4047597.4,1675.32,0.04,8073.1,0.20,-1541.78,-0.04,36727.29,18.36
62,Entry long,2023-03-03 14:15,Long Add,33341,121.4,4047597.4,1675.32,0.04,8073.1,0.20,-1541.78,-0.04,36727.29,18.36
63,Exit long,2023-03-24 13:00,Exit Long,32080.2,19.2,615849.6,90.24,0.01,1436.16,0.23,-1635.84,-0.27,36817.53,18.41
63,Entry long,2023-03-24 11:45,Long,32075.5,19.2,615849.6,90.24,0.01,1436.16,0.23,-1635.84,-0.27,36817.53,18.41
64,Exit long,2023-03-28 10:30,Exit Long,32469.7,46.8,1521968.76,-2386.8,-0.16,1207.44,0.08,-2386.8,-0.16,34430.73,17.22
64,Entry long,2023-03-28 10:00,Long,32520.7,46.8,1521968.76,-2386.8,-0.16,1207.44,0.08,-2386.8,-0.16,34430.73,17.22
65,Exit long,2023-03-31 12:30,Exit Long,33134.6,53.9,1782198.11,3756.83,0.21,6166.16,0.35,-549.78,-0.03,38187.56,19.09
65,Entry long,2023-03-31 11:00,Long,33064.9,53.9,1782198.11,3756.83,0.21,6166.16,0.35,-549.78,-0.03,38187.56,19.09
66,Exit long,2023-04-11 10:30,Exit Long,33623.1,58.4,1966766,-3176.96,-0.16,46.72,0.00,-3690.88,-0.19,35010.6,17.51
66,Entry long,2023-04-11 10:15,Long,33677.5,58.4,1966766,-3176.96,-0.16,46.72,0.00,-3690.88,-0.19,35010.6,17.51
67,Exit long,2023-04-11 12:30,Exit Long,33717.9,51.3,1728784.35,943.92,0.05,3062.61,0.18,-1759.59,-0.10,35954.52,17.98
67,Entry long,2023-04-11 11:15,Long,33699.5,51.3,1728784.35,943.92,0.05,3062.61,0.18,-1759.59,-0.10,35954.52,17.98
68,Exit long,2023-04-28 10:30,Exit Long,33949.5,48.6,1645246.08,4699.62,0.29,7012.98,0.43,-179.82,-0.01,40654.14,20.33
68,Entry long,2023-04-28 09:45,Long,33852.8,48.6,1645246.08,4699.62,0.29,7012.98,0.43,-179.82,-0.01,40654.14,20.33
69,Exit long,2023-04-28 12:15,Exit Long,34036,32.8,1116295.52,85.28,0.01,665.84,0.06,-482.16,-0.04,40739.42,20.37
69,Entry long,2023-04-28 11:45,Long,34033.4,32.8,1116295.52,85.28,0.01,665.84,0.06,-482.16,-0.04,40739.42,20.37
70,Exit long,2023-04-28 13:45,Exit Long,34009.7,36,1226768.4,-2419.2,-0.20,0,0.00,-2419.2,-0.20,38320.22,19.16
70,Entry long,2023-04-28 12:45,Long,34076.9,36,1226768.4,-2419.2,-0.20,0,0.00,-2419.2,-0.20,38320.22,19.16
71,Exit long,2023-05-09 10:00,Exit Long,33572.8,57.3,1927268.31,-3546.87,-0.18,905.34,0.05,-4308.96,-0.22,34773.35,17.39
71,Entry long,2023-05-09 09:45,Long,33634.7,57.3,1927268.31,-3546.87,-0.18,905.34,0.05,-4308.96,-0.22,34773.35,17.39
72,Exit long,2023-05-26 11:00,Exit Long,33052.3,27.9,924511.14,-2351.97,-0.25,859.32,0.09,-2351.97,-0.25,32421.38,16.21
72,Entry long,2023-05-26 10:15,Long,33136.6,27.9,924511.14,-2351.97,-0.25,859.32,0.09,-2351.97,-0.25,32421.38,16.21
73,Exit long,2023-06-02 16:15,Exit Long,33740.2,32.7,1095538.29,7766.25,0.71,9888.48,0.90,-2001.24,-0.18,40187.63,20.09
73,Entry long,2023-06-02 10:00,Long,33502.7,32.7,1095538.29,7766.25,0.71,9888.48,0.90,-2001.24,-0.18,40187.63,20.09
74,Exit long,2023-06-02 16:15,Exit Long Add,33740.2,114.7,3857773.92,12227.02,0.32,19671.05,0.51,-3062.49,-0.08,52414.65,26.21
74,Entry long,2023-06-02 11:30,Long Add,33633.6,114.7,3857773.92,12227.02,0.32,19671.05,0.51,-3062.49,-0.08,52414.65,26.21
75,Exit long,2023-06-06 11:00,Exit Long,33579.3,55.5,1866642.6,-2991.45,-0.16,549.45,0.03,-2991.45,-0.16,49423.2,24.71
75,Entry long,2023-06-06 10:45,Long,33633.2,55.5,1866642.6,-2991.45,-0.16,549.45,0.03,-2991.45,-0.16,49423.2,24.71
76,Exit long,2023-06-09 10:30,Exit Long,33933.5,58,1968067.6,75.4,0.00,1850.2,0.09,-997.6,-0.05,49498.6,24.75
76,Entry long,2023-06-09 10:00,Long,33932.2,58,1968067.6,75.4,0.00,1850.2,0.09,-997.6,-0.05,49498.6,24.75
77,Exit long,2023-06-27 15:30,Exit Long,33940.5,47.1,1595375.91,3221.64,0.20,5421.21,0.34,-1375.32,-0.09,52720.24,26.36
77,Entry long,2023-06-27 11:30,Long,33872.1,47.1,1595375.91,3221.64,0.20,5421.21,0.34,-1375.32,-0.09,52720.24,26.36
78,Exit long,2023-06-27 15:30,Exit Long Add,33940.5,165,5598351,1831.5,0.03,9537,0.17,-214.5,0.00,54551.74,27.28
78,Entry long,2023-06-27 13:15,Long Add,33929.4,165,5598351,1831.5,0.03,9537,0.17,-214.5,0.00,54551.74,27.28
79,Exit long,2023-07-07 13:30,Exit Long,34001.8,46.8,1591200,84.24,0.01,1577.16,0.10,-1212.12,-0.08,54635.98,27.32
79,Entry long,2023-07-07 12:30,Long,34000,46.8,1591200,84.24,0.01,1577.16,0.10,-1212.12,-0.08,54635.98,27.32
80,Exit long,2023-07-11 12:15,Exit Long,34170.4,51.5,1759693.2,82.4,0.00,2126.95,0.12,-10.3,0.00,54718.38,27.36
80,Entry long,2023-07-11 11:45,Long,34168.8,51.5,1759693.2,82.4,0.00,2126.95,0.12,-10.3,0.00,54718.38,27.36
81,Exit long,2023-07-18 10:15,Exit Long,34812,50.9,1771849.36,81.44,0.00,1715.33,0.10,-81.44,0.00,54799.82,27.40
81,Entry long,2023-07-18 09:45,Long,34810.4,50.9,1771849.36,81.44,0.00,1715.33,0.10,-81.44,0.00,54799.82,27.40
82,Exit long,2023-07-18 12:15,Exit Long,34962,51.5,1794579.3,5963.7,0.33,9022.8,0.50,-654.05,-0.04,60763.52,30.38
82,Entry long,2023-07-18 10:15,Long,34846.2,51.5,1794579.3,5963.7,0.33,9022.8,0.50,-654.05,-0.04,60763.52,30.38
83,Exit long,2023-07-18 12:15,Exit Long Add,34962,180.3,6309670.62,-6022.02,-0.10,901.5,0.01,-6022.02,-0.10,54741.5,27.37
83,Entry long,2023-07-18 11:45,Long Add,34995.4,180.3,6309670.62,-6022.02,-0.10,901.5,0.01,-6022.02,-0.10,54741.5,27.37
84,Exit long,2023-07-25 12:15,Exit Long,35519,72.5,2575055,72.5,0.00,862.75,0.03,-1131,-0.04,54814,27.41
84,Entry long,2023-07-25 11:30,Long,35518,72.5,2575055,72.5,0.00,862.75,0.03,-1131,-0.04,54814,27.41
85,Exit long,2023-07-25 14:45,Exit Long,35539.1,73.4,2608496.54,73.4,0.00,1908.4,0.07,-2077.22,-0.08,54887.4,27.44
85,Entry long,2023-07-25 12:45,Long,35538.1,73.4,2608496.54,73.4,0.00,1908.4,0.07,-2077.22,-0.08,54887.4,27.44
86,Exit long,2023-08-01 10:00,Exit Long,35639,59.9,2137639.32,-2863.22,-0.13,1695.17,0.08,-2863.22,-0.13,52024.18,26.01
86,Entry long,2023-08-01 09:45,Long,35686.8,59.9,2137639.32,-2863.22,-0.13,1695.17,0.08,-2863.22,-0.13,52024.18,26.01
87,Exit long,2023-08-04 11:45,Exit Long,35442.6,33.9,1201460.07,44.07,0.00,366.12,0.03,-1572.96,-0.13,52068.25,26.03
87,Entry long,2023-08-04 10:30,Long,35441.3,33.9,1201460.07,44.07,0.00,366.12,0.03,-1572.96,-0.13,52068.25,26.03
88,Exit long,2023-08-04 13:15,Exit Long,35457,41.3,1466905.79,-2531.69,-0.17,297.36,0.02,-2531.69,-0.17,49536.56,24.77
88,Entry long,2023-08-04 12:30,Long,35518.3,41.3,1466905.79,-2531.69,-0.17,297.36,0.02,-2531.69,-0.17,49536.56,24.77
89,Exit long,2023-08-11 10:45,Exit Long,35316,36.4,1285415.04,87.36,0.01,1907.36,0.15,-924.56,-0.07,49623.92,24.81
89,Entry long,2023-08-11 10:15,Long,35313.6,36.4,1285415.04,87.36,0.01,1907.36,0.15,-924.56,-0.07,49623.92,24.81
90,Exit long,2023-08-18 12:00,Exit Long,34517.6,37.9,1308129.87,87.17,0.01,1303.76,0.10,-2471.08,-0.19,49711.09,24.86
90,Entry long,2023-08-18 11:00,Long,34515.3,37.9,1308129.87,87.17,0.01,1303.76,0.10,-2471.08,-0.19,49711.09,24.86
91,Exit long,2023-08-29 10:30,Exit Long,34669.3,52.9,1833926.62,79.35,0.00,4316.64,0.24,-1026.26,-0.06,49790.44,24.90
91,Entry long,2023-08-29 10:00,Long,34667.8,52.9,1833926.62,79.35,0.00,4316.64,0.24,-1026.26,-0.06,49790.44,24.90
92,Exit long,2023-08-29 12:30,Exit Long,34783,42.5,1478192.5,85,0.01,1810.5,0.12,-1215.5,-0.08,49875.44,24.94
