Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
184,Exit long,2026-01-12 10:30,Exit Long,25717.7,52.7,1355955.19,-632.4,-0.05,1623.16,0.12,-1791.8,-0.13,416635.8,208.32
184,Entry long,2026-01-12 09:45,Long,25729.7,52.7,1355955.19,-632.4,-0.05,1623.16,0.12,-1791.8,-0.13,416635.8,208.32
185,Exit long,2026-01-12 12:15,Exit Long,25780.1,48.8,1257780.96,287.92,0.02,1332.24,0.11,-1132.16,-0.09,416923.72,208.46
185,Entry long,2026-01-12 11:00,Long,25774.2,48.8,1257780.96,287.92,0.02,1332.24,0.11,-1132.16,-0.09,416923.72,208.46
186,Exit long,2026-01-20 10:00,Exit Long,25121.8,40,1007356,-2484,-0.25,1388,0.14,-2584,-0.26,414439.72,207.22
186,Entry long,2026-01-20 09:30,Long,25183.9,40,1007356,-2484,-0.25,1388,0.14,-2584,-0.26,414439.72,207.22
187,Exit long,2026-01-20 11:15,Exit Long,25201.3,32.9,830419.03,-1296.26,-0.16,1260.07,0.15,-2490.53,-0.30,413143.47,206.57
187,Entry long,2026-01-20 10:30,Long,25240.7,32.9,830419.03,-1296.26,-0.16,1260.07,0.15,-2490.53,-0.30,413143.47,206.57
188,Exit long,2026-02-09 13:00,Exit Long,25254.7,30,756615,1026,0.14,3123,0.41,-180,-0.02,414169.47,207.08
188,Entry long,2026-02-09 10:45,Long,25220.5,30,756615,1026,0.14,3123,0.41,-180,-0.02,414169.47,207.08
189,Exit long,2026-03-02 10:15,Exit Long,24834.9,28.9,716691.1,1037.51,0.14,3141.43,0.44,-979.71,-0.14,415206.97,207.60
189,Entry long,2026-03-02 09:30,Long,24799,28.9,716691.1,1037.51,0.14,3141.43,0.44,-979.71,-0.14,415206.97,207.60
190,Exit long,2026-03-02 13:45,Exit Long,24955.9,23.2,579872.4,-895.52,-0.15,988.32,0.17,-895.52,-0.15,414311.44,207.16
190,Entry long,2026-03-02 11:45,Long,24994.5,23.2,579872.4,-895.52,-0.15,988.32,0.17,-895.52,-0.15,414311.44,207.16
191,Exit long,2026-03-09 13:15,Exit Long,24634,23.6,578440.72,2921.68,0.51,5038.6,0.87,-939.28,-0.16,417233.12,208.62
191,Entry long,2026-03-09 10:30,Long,24510.2,23.6,578440.72,2921.68,0.51,5038.6,0.87,-939.28,-0.16,417233.12,208.62
192,Exit long,2026-03-09 13:15,Exit Long Add,24634,236.7,5831648.91,-781.11,-0.01,20450.88,0.35,-6674.94,-0.11,416452.03,208.23
