analysis,panel_id,pass_rate,bust_rate,bust_inactivity_rate,horizon_cap_rate,p99_dd,p95_dd,half_id,n_bdays,n_blocks
bootstrap,66.0,0.9963666666666665,0.0036333333333333335,0.0,0.0,0.04728279327215251,0.03694168692692169,,,
bootstrap,67.0,0.9992666666666667,0.0007333333333333333,0.0,0.0,0.040569454421938725,0.031677603914497796,,,
bootstrap,68.0,0.9973333333333333,0.0026666666666666666,0.0,0.0,0.046790849470058606,0.03569890715426631,,,
bootstrap,69.0,0.9966333333333334,0.0033666666666666667,0.0,0.0,0.04690964848098671,0.03644431192787527,,,
bootstrap,70.0,0.9953666666666666,0.004633333333333333,0.0,0.0,0.04831968598753018,0.037431061084957126,,,
bootstrap,71.0,0.9977666666666666,0.0022333333333333333,0.0,0.0,0.04432499617652866,0.03449926315308131,,,
bootstrap,72.0,0.9988,0.0012,0.0,0.0,0.04301004059759118,0.033297172782474085,,,
bootstrap,73.0,0.9979,0.0021,0.0,0.0,0.044053738584856575,0.034130011359965594,,,
bootstrap,74.0,0.9946999999999999,0.005299999999999999,0.0,0.0,0.049137178103787704,0.03862333800548225,,,
bootstrap,75.0,0.9998333333333335,0.00016666666666666666,0.0,0.0,0.03359422565226578,0.026867632353809238,,,
bootstrap,76.0,0.999,0.001,0.0,0.0,0.04120988464234336,0.032339988501606486,,,
bootstrap,77.0,0.9954333333333333,0.004566666666666667,0.0,0.0,0.048636760559287305,0.03765301884300795,,,
bootstrap,78.0,0.9961333333333333,0.003866666666666667,0.0,0.0,0.04802643838020006,0.03740329830413893,,,
bootstrap,79.0,0.9985333333333334,0.0014666666666666665,0.0,0.0,0.04236388339397454,0.0326973995435451,,,
bootstrap,80.0,0.9953,0.0047,0.0,0.0,0.04871714177811145,0.03822091907285394,,,
bootstrap,81.0,0.9985333333333334,0.0014666666666666667,0.0,0.0,0.043690691274819844,0.03422440239717731,,,
bootstrap,82.0,0.9991666666666666,0.0008333333333333334,0.0,0.0,0.0413782651056244,0.031951098265763894,,,
bootstrap,83.0,0.9987333333333334,0.0012666666666666668,0.0,0.0,0.04176858413956654,0.03252277907719474,,,
bootstrap,84.0,0.9991,0.0008999999999999999,0.0,0.0,0.04288342071766106,0.03402880412379805,,,
bootstrap,85.0,0.9957333333333334,0.004266666666666666,0.0,0.0,0.04811297447830064,0.03717564606366473,,,
bootstrap,86.0,0.9974333333333334,0.0025666666666666667,0.0,0.0,0.04558031041973599,0.03499045058302333,,,
bootstrap,87.0,0.9963333333333333,0.0036666666666666666,0.0,0.0,0.04679710883068461,0.03649214661990768,,,
bootstrap,88.0,0.9984666666666667,0.0015333333333333334,0.0,0.0,0.04405298329432422,0.034229684323505094,,,
bootstrap,89.0,0.993,0.006999999999999999,0.0,0.0,0.04962288175441521,0.03962201595524058,,,
bootstrap,90.0,0.9988666666666667,0.0011333333333333332,0.0,0.0,0.04206849406583721,0.032893047372458274,,,
bootstrap,91.0,0.9986999999999999,0.0013,0.0,0.0,0.04227526029530482,0.033393505023308484,,,
bootstrap,92.0,0.9997000000000001,0.0003,0.0,0.0,0.036621762697760546,0.02919048997484255,,,
bootstrap,93.0,0.9968,0.0032,0.0,0.0,0.04596669609994959,0.03558193687914541,,,
bootstrap,94.0,0.9990000000000001,0.001,0.0,0.0,0.042277472064636196,0.03319099895186777,,,
bootstrap,95.0,0.9992000000000001,0.0007999999999999999,0.0,0.0,0.041113263401578955,0.03174379812295631,,,
bootstrap,96.0,0.9972,0.0028,0.0,0.0,0.04702042992699825,0.036757250144536395,,,
bootstrap,97.0,0.9993333333333333,0.0006666666666666666,0.0,0.0,0.042176638169549904,0.03309709328633975,,,
bootstrap,98.0,0.9981333333333332,0.0018666666666666666,0.0,0.0,0.04364277732341141,0.033962696556586194,,,
bootstrap,99.0,0.9976333333333334,0.0023666666666666667,0.0,0.0,0.04520912823115018,0.03488800159112392,,,
half_panel,,0.9964,0.0035999999999999995,0.0,0.0,0.048363546185970156,0.03797978727443367,H1,507.0,101.0
half_panel,,0.9994666666666667,0.0005333333333333334,0.0,0.0,0.0385396030370999,0.03024058715896918,H2,532.0,105.0
