exit_reason,pnl_price,bars_held,atr_at_entry,mfe_price,mae_price,mfe_R,mae_R,sim_R,sim_pnl_pct,timestamp_utc,block_TueH08,block_MonH08,block_MonH09,block_MonH12,block_TueH12,block_ThuH12,block_day,block_session,block_hour,strategy,block_TueH08_cohort_n,block_MonH08_cohort_n,block_MonH09_cohort_n,block_MonH12_cohort_n,block_TueH12_cohort_n,block_ThuH12_cohort_n,block_day_cohort_n,block_session_cohort_n,block_hour_cohort_n,thin_cohort_any,feed,panel_window,canonical_status,simulation_simplifications
stop,-4.285555373894567,14,2.7648744347706975,11.034999999999854,4.855000000000018,2.574928810211962,1.1328753396990745,-0.9999999999999967,-0.3399999999999989,2024-07-02T12:30:00+00:00,1,0,0,0,0,0,0,0,1,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-2.5007467088207704,3,1.6133849734328287,0.13999999999987267,2.9049999999997453,0.055983278716733136,1.1616530333731674,-0.9999999999999544,-0.33999999999998454,2024-07-03T02:00:00+00:00,0,0,0,0,0,0,0,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
tp,47.80204025011244,212,1.6483462155211228,49.570000000000164,0.0,19.4016553440988,0.0,18.70967741935479,6.361290322580629,2024-07-03T03:30:00+00:00,0,0,0,0,0,0,0,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-4.8213535639984,43,3.1105506864505097,6.194999999999709,5.894999999999982,1.2849088783404365,1.2226856881060866,-1.0000000000000229,-0.3400000000000078,2024-07-03T18:45:00+00:00,0,0,0,0,0,0,1,0,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-3.688953335582937,36,2.3799698939246157,6.579999999999927,5.5099999999997635,1.783703777581061,1.4936486040229988,-0.9999999999999412,-0.33999999999998004,2024-07-03T20:30:00+00:00,0,0,0,0,0,0,1,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-2.759734900470903,23,1.780474129336044,4.5,3.1149999999997817,1.6305914018162417,1.1287316037016084,-1.0000000000000127,-0.34000000000000435,2024-07-04T00:15:00+00:00,0,0,0,0,0,0,1,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-3.0899150620475666,10,1.9934935884177032,1.1100000000001273,3.7049999999999272,0.3592331755762305,1.1990620860448247,-1.0000000000000409,-0.3400000000000139,2024-07-04T02:45:00+00:00,0,0,0,0,0,0,1,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-3.2398196198264486,8,2.0902062063397464,0.2300000000000182,4.380000000000109,0.07099160662911462,1.3519271175456749,-0.999999999999951,-0.33999999999998337,2024-07-04T03:15:00+00:00,0,0,0,0,0,0,1,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-2.9186620663749636,2,1.8830077847581497,0.02500000000009095,3.005000000000109,0.008565568548722053,1.0295813395526827,-0.9999999999999424,-0.33999999999998043,2024-07-04T04:45:00+00:00,0,0,0,0,0,0,0,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-3.4424917187216124,102,2.2209623991752196,18.99499999999989,8.625,5.517805575739745,2.5054526502108754,-1.0000000000000062,-0.34000000000000213,2024-07-04T07:30:00+00:00,0,0,0,0,0,0,0,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
