trade_num,signal,date_and_time,pnl_uncapped,pnl,cap_touched,mae
152,Long,2024-10-22 11:00,102.1200,102.1200,False,-2406.4800
153,Long,2024-10-22 12:30,103.3200,103.3200,False,-477.2400
154,Long,2024-11-01 10:15,-3967.4400,-3967.4400,False,-4948.3200
155,Long,2024-11-01 11:15,-2941.7600,-2941.7600,False,-2941.7600
156,Long,2024-11-05 09:45,5732.4000,5732.4000,False,-1055.7000
157,Long,2024-11-08 10:15,1919.8100,1919.8100,False,-697.2200
158,Long,2024-11-12 09:30,-5297.4000,-5297.4000,False,-5815.1500
159,Long,2024-11-19 11:15,108.0400,108.0400,False,-2035.2400
160,Long,2024-11-29 10:45,5392.0500,5392.0500,False,-551.0500
161,Long Add,2024-11-29 12:15,-4561.5900,-4561.5900,False,-4561.5900
162,Long,2024-12-10 10:45,100.7600,100.7600,False,-1154.1600
163,Long,2024-12-20 10:15,14008.3200,14008.3200,False,-184.3200
164,Long Add,2024-12-20 11:45,2170.7400,2170.7400,False,-3022.8900
165,Long,2024-12-24 11:30,1026.6300,1026.6300,False,-3233.6100
166,Long,2025-01-17 10:45,1540.5900,1540.5900,False,-1454.0400
167,Long,2025-01-28 10:30,113.1300,113.1300,False,-846.3800
168,Long,2025-02-07 09:45,-11870.6500,-6000.0000,True,-13045.8500
169,Long,2025-02-11 10:30,1386.0000,1386.0000,False,-483.0000
170,Long,2025-03-14 10:45,760.7600,760.7600,False,-1144.0000
171,Long,2025-03-21 12:15,114.8400,114.8400,False,-1106.6400
172,Long,2025-04-01 10:45,1310.1800,1310.1800,False,-571.1600
173,Long,2025-04-22 10:30,623.2000,623.2000,False,-1374.0800
174,Long,2025-04-22 12:00,114.3800,114.3800,False,-1034.7400
175,Long,2025-04-29 10:45,-3055.0000,-3055.0000,False,-3055.0000
176,Long,2025-05-02 12:00,-3032.3900,-3032.3900,False,-3032.3900
177,Long,2025-05-16 12:30,5330.0000,5330.0000,False,-1074.2000
178,Long Add,2025-05-16 14:00,6246.6000,6246.6000,False,-488.2400
179,Long,2025-05-27 11:30,3701.4500,3701.4500,False,-981.6000
180,Long Add,2025-05-27 13:45,-4012.4000,-4012.4000,False,-4012.4000
181,Long,2025-06-03 11:00,5769.7500,5769.7500,False,-819.5400
182,Long Add,2025-06-03 12:30,4073.0300,4073.0300,False,-3825.6800
183,Long,2025-06-27 09:45,22644.8800,22644.8800,False,-14.2600
