utc_window,ret_XAUUSD,ret_US30USD,ret_USDJPY,sigma_threshold,feed,panel_window,canonical_status,threshold_sigma,long_only_universe
2024-12-19 05:45:00+00:00,-0.0010043606191927294,-0.0009198222325672512,-0.0008499897482698446,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-12-19 14:45:00+00:00,-0.000913699776348761,-0.0014861595363638669,-0.0008776114271190365,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-12-30 13:30:00+00:00,-0.003275932677721094,-0.0014287690893359513,-0.00071075914604198,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-12-30 14:30:00+00:00,-0.002303252204819223,-0.0028905082271121134,-0.0012136425057209651,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-01-02 17:30:00+00:00,-0.0010075150166917398,-0.0035140965439681227,-0.0014461868862440219,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-01-10 14:30:00+00:00,-0.0012669356645892361,-0.0022853540982337855,-0.0025881749473175147,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-01-26 23:00:00+00:00,-0.0011790186623354861,-0.0014418021416818204,-0.0021113233128824994,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-01-27 13:30:00+00:00,-0.0018218114274894818,-0.0010309594613198587,-0.000965291686958527,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-02-03 09:45:00+00:00,-0.0008900025428913669,-0.000865347445432635,-0.0007094165668967122,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-02-03 20:15:00+00:00,-0.0008836477837026475,-0.0011019284861566439,-0.00075613392988937,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-02-04 05:00:00+00:00,-0.0008765362123506164,-0.0034385409385011795,-0.0019080161781649691,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-02-04 08:30:00+00:00,-0.0014956368213600959,-0.00126557979309045,-0.0009982322459325054,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
