utc,XAUUSD__US30USD,XAUUSD__USDJPY,US30USD__USDJPY,feed,panel_window,canonical_status,window_days
2022-05-30 00:00:00+00:00,0.004751190865806751,-0.23582758264364098,0.0760374472498641,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-31 00:00:00+00:00,0.014681857730819635,-0.2363353178006269,0.07087896879738344,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-06-01 00:00:00+00:00,0.01589977227867251,-0.23895193006638563,0.0658524216737409,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-06-02 00:00:00+00:00,0.029242069271442087,-0.2363062241342679,0.056074552713735404,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-06-03 00:00:00+00:00,0.049201181082051584,-0.2466010755928387,0.05330583293693531,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-06-05 00:00:00+00:00,0.048774493521103794,-0.24658698930652365,0.05304736071741625,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-06-06 00:00:00+00:00,0.08443663169056052,-0.2565321796275466,0.049483207934109805,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-06-07 00:00:00+00:00,0.09975153738964956,-0.2639362441698492,0.04631503478931662,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-06-08 00:00:00+00:00,0.10919973445376337,-0.26726055119048936,0.04558052941336834,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-06-09 00:00:00+00:00,0.12485632193811262,-0.27118790093660433,0.04139096007684685,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-06-10 00:00:00+00:00,0.12594828529624597,-0.2717375512829004,0.04170308847736243,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-06-12 00:00:00+00:00,0.12233183436206041,-0.2706751818641548,0.04088932501205463,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-06-13 00:00:00+00:00,0.13165278520098764,-0.26939992655777895,0.03286650660215142,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-06-14 00:00:00+00:00,0.13809041236477965,-0.269207993383569,0.03794272905747153,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-06-15 00:00:00+00:00,0.1622242881795898,-0.283176471066024,0.008302171673981134,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-06-16 00:00:00+00:00,0.16596899753700756,-0.28807457566557,0.01027007674354606,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-06-17 00:00:00+00:00,0.16867097678487797,-0.2860237396126486,0.012744634403538058,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-06-19 00:00:00+00:00,0.1685752988492321,-0.2863743083131549,0.013956220486526602,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-06-20 00:00:00+00:00,0.17197134838452682,-0.2861709224076554,0.015397126272356019,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-06-21 00:00:00+00:00,0.17468786628169183,-0.2843921930367022,0.014584361984627566,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-06-22 00:00:00+00:00,0.17750467025333252,-0.286970374126152,0.016477559918368145,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-06-23 00:00:00+00:00,0.17830364199124804,-0.2898016428354251,0.016571328829891638,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-06-24 00:00:00+00:00,0.1826846222320138,-0.28448368724274464,0.010666521687284176,OANDA,2022-01-02_2026-04-19,PROXY,60
