exit_date_ny,guardian_R,guardian_pnl_usd,guardian_n_trades,striker_R,striker_pnl_usd,striker_n_trades,aegis_R,aegis_pnl_usd,aegis_n_trades,portfolio_R
2023-09-13,0.0,0.0,0,0.0,0.0,0,0.0,86.83,1,0.0
2023-09-20,0.0,0.0,0,0.0,0.0,0,0.0,-100.01,1,0.0
2023-09-21,-0.4411764705882352,-867.98,1,0.0,0.0,0,0.0,0.0,0,-0.4411764705882352
2023-10-06,0.0,0.0,0,0.33,2832.65,1,0.0,0.0,0,0.33
2023-10-10,0.0,0.0,0,0.03,499.25,2,0.0,0.0,0,0.03
2023-10-13,10.529411764705882,16145.74,1,0.0,0.0,0,0.0,0.0,0,10.529411764705882
2023-10-16,-0.676470588235294,-919.18,1,0.0,0.0,0,0.0,0.0,0,-0.676470588235294
2023-10-17,-0.7941176470588235,-915.95,1,-0.21,-3111.38,2,0.0,0.0,0,-1.0041176470588236
2023-10-20,10.588235294117647,17056.23,1,0.0,0.0,0,0.0,0.0,0,10.588235294117647
2023-10-23,-0.7352941176470588,-970.86,1,0.0,0.0,0,0.0,0.0,0,-0.7352941176470588
2023-10-31,0.0,0.0,0,0.03,397.17,1,0.0,0.0,0,0.03
2023-11-01,0.0,0.0,0,0.0,0.0,0,0.0,47.29,1,0.0
2023-11-03,0.0,0.0,0,0.05,821.6,1,0.0,0.0,0,0.05
2023-11-06,1.8235294117647058,2349.15,1,0.0,0.0,0,0.0,0.0,0,1.8235294117647058
2023-11-07,0.0,0.0,0,-0.010000000000000009,220.88999999999987,2,0.0,0.0,0,-0.010000000000000009
2023-11-13,0.0,0.0,0,0.0,0.0,0,0.11333333333333334,7991.93,1,0.11333333333333334
2023-11-14,0.0,0.0,0,0.02,333.84,1,0.0,66.01,1,0.02
2023-11-21,5.61764705882353,17190.42,2,0.0,0.0,0,0.0,0.0,0,5.61764705882353
2023-11-23,-0.29411764705882354,-1036.09,1,0.0,0.0,0,0.0,0.0,0,-0.29411764705882354
2023-11-24,0.0,0.0,0,0.0,76.28,1,0.0,0.0,0,0.0
2023-11-27,-0.5294117647058822,-1031.0,1,0.0,0.0,0,0.0,0.0,0,-0.5294117647058822
2023-11-28,0.0,0.0,0,0.05,1343.43,1,0.0,0.0,0,0.05
2023-12-01,0.0,0.0,0,0.01,105.4,1,0.0,0.0,0,0.01
2023-12-03,9.411764705882353,19190.87,1,0.0,0.0,0,0.0,0.0,0,9.411764705882353
2023-12-14,-1.3235294117647056,-2181.4300000000003,2,0.0,0.0,0,0.0,0.0,0,-1.3235294117647056
2023-12-19,0.0,0.0,0,0.09,-2004.3799999999992,2,0.0,0.0,0,0.09
2023-12-27,0.0,0.0,0,0.0,0.0,0,-0.06666666666666667,-3971.69,1,-0.06666666666666667
2024-01-02,5.147058823529411,10541.58,1,0.0,100.85,1,0.0,0.0,0,5.147058823529411
2024-01-05,0.0,0.0,0,0.25,5483.38,1,0.0,0.0,0,0.25
2024-01-08,0.0,0.0,0,0.0,0.0,0,-0.06,-2345.34,1,-0.06
2024-01-15,-0.3529411764705882,-1122.14,1,0.0,0.0,0,0.08,4963.22,1,-0.2729411764705882
2024-01-24,-0.5588235294117647,-1117.57,1,0.0,0.0,0,0.0,0.0,0,-0.5588235294117647
2024-01-26,0.0,0.0,0,-0.09,-2057.3099999999995,2,0.0,0.0,0,-0.09
2024-01-30,0.0,0.0,0,0.04,1288.81,1,0.0,0.0,0,0.04
2024-01-31,-0.5,-1113.85,1,0.0,0.0,0,0.0,0.0,0,-0.5
2024-02-02,-0.676470588235294,-1109.52,1,0.0,0.0,0,0.0,0.0,0,-0.676470588235294
2024-02-07,0.0,0.0,0,0.0,0.0,0,0.16666666666666666,6520.54,1,0.16666666666666666
2024-02-14,0.0,0.0,0,0.0,0.0,0,0.0,-0.74,1,0.0
2024-02-20,-0.411764705882353,-1106.68,1,0.0,100.2,1,0.0,0.0,0,-0.411764705882353
2024-02-23,-0.3529411764705882,-1103.45,1,0.0,0.0,0,0.0,0.0,0,-0.3529411764705882
2024-02-28,-0.411764705882353,-1099.1,1,0.0,0.0,0,0.0,0.0,0,-0.411764705882353
2024-03-01,-0.47058823529411764,-1095.0,1,0.0,34.61,1,0.0,0.0,0,-0.47058823529411764
2024-03-08,0.0,0.0,0,-0.18,-3257.4,1,0.0,0.0,0,-0.18
2024-03-12,0.0,0.0,0,0.01,115.03,1,0.0,0.0,0,0.01
2024-03-13,0.0,0.0,0,0.0,0.0,0,0.0,3.66,1,0.0
2024-03-18,4.5,4365.27,1,0.0,0.0,0,0.0,0.0,0,4.5
2024-03-19,0.0,0.0,0,0.61,26785.57,2,0.0,0.0,0,0.61
2024-03-21,-0.6470588235294117,-1105.62,1,0.0,0.0,0,0.0,0.0,0,-0.6470588235294117
2024-04-05,0.0,0.0,0,0.11,1504.0400000000002,2,0.0,0.0,0,0.11
2024-04-07,11.705882352941176,20586.16,1,0.0,0.0,0,0.0,0.0,0,11.705882352941176
2024-04-10,-0.9117647058823529,-1171.3,1,0.0,0.0,0,0.0,0.0,0,-0.9117647058823529
2024-04-11,-0.7941176470588235,-1167.61,1,0.0,0.0,0,0.0,0.0,0,-0.7941176470588235
2024-04-15,-0.9117647058823529,-1163.39,1,0.0,0.0,0,0.0,84.81,1,-0.9117647058823529
2024-04-16,-0.8529411764705881,-1159.6,1,0.0,0.0,0,0.0,0.0,0,-0.8529411764705881
2024-04-17,-1.1176470588235294,-1155.35,1,0.0,0.0,0,-0.013333333333333334,-814.7,1,-1.1309803921568629
2024-04-18,-0.9705882352941176,-1151.42,1,0.0,0.0,0,0.0,0.0,0,-0.9705882352941176
2024-04-21,-1.088235294117647,-1147.44,1,0.0,0.0,0,0.0,0.0,0,-1.088235294117647
2024-04-23,0.0,0.0,0,0.01,114.07,1,0.0,0.0,0,0.01
2024-04-26,0.0,0.0,0,-0.4,-7124.67,2,0.0,0.0,0,-0.4
2024-04-29,-0.7941176470588235,-1143.84,1,0.0,0.0,0,0.0,0.0,0,-0.7941176470588235
2024-05-01,0.0,0.0,0,0.0,0.0,0,0.0,-81.39,1,0.0
2024-05-07,-1.588235294117647,-2276.2,2,0.0,96.11,1,0.0,0.0,0,-1.588235294117647
2024-05-19,15.558823529411764,21162.19,1,0.0,0.0,0,0.0,0.0,0,15.558823529411764
2024-05-21,-0.6470588235294117,-1204.46,1,0.0,93.62,1,0.0,0.0,0,-0.6470588235294117
2024-05-24,0.0,0.0,0,-0.18,-3441.38,1,0.0,0.0,0,-0.18
2024-05-29,-0.6470588235294117,-1200.4,1,0.0,0.0,0,0.0,0.0,0,-0.6470588235294117
2024-06-03,0.0,0.0,0,0.0,0.0,0,0.0,78.53,1,0.0
2024-06-04,0.0,0.0,0,-0.01,-153.22,1,0.17333333333333334,6336.61,1,0.16333333333333333
2024-06-07,-0.6470588235294117,-1196.42,1,0.08,1371.48,1,0.0,0.0,0,-0.5670588235294117
2024-06-17,-0.6470588235294117,-1191.08,1,0.0,0.0,0,-0.013333333333333334,-837.42,1,-0.660392156862745
2024-06-18,-0.5294117647058822,-1187.08,1,0.0,0.0,0,0.0,0.0,0,-0.5294117647058822
2024-06-21,0.0,0.0,0,0.01,114.4,1,0.0,0.0,0,0.01
2024-06-27,-0.5588235294117647,-1191.25,1,0.0,0.0,0,0.0,0.0,0,-0.5588235294117647
2024-07-02,-0.7941176470588235,-1188.55,1,0.0,0.0,0,0.0,0.0,0,-0.7941176470588235
2024-07-03,0.0,0.0,0,0.0,0.0,0,0.22666666666666668,12781.75,1,0.22666666666666668
2024-07-08,0.0,0.0,0,0.0,0.0,0,0.0,10.06,1,0.0
2024-07-09,0.0,0.0,0,0.19,4508.81,1,0.0,0.0,0,0.19
2024-07-11,11.558823529411764,21964.9,1,0.0,0.0,0,0.0,0.0,0,11.558823529411764
2024-07-12,0.0,0.0,0,0.31,6642.570000000001,3,0.0,0.0,0,0.31
2024-07-15,0.0,0.0,0,0.0,0.0,0,-0.006666666666666667,-382.08,1,-0.006666666666666667
2024-07-16,0.0,0.0,0,0.24000000000000002,-72.90999999999985,2,0.0,0.0,0,0.24000000000000002
2024-07-17,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,212.96,1,0.006666666666666667
2024-07-19,-0.7058823529411764,-1257.25,1,0.0,0.0,0,0.0,0.0,0,-0.7058823529411764
2024-07-23,0.0,0.0,0,0.0,0.0,0,0.0,82.44,1,0.0
2024-07-26,0.0,0.0,0,0.11,1920.86,2,0.0,0.0,0,0.11
2024-07-30,-0.47058823529411764,-1298.78,1,0.0,0.0,0,0.0,0.0,0,-0.47058823529411764
2024-08-06,0.0,0.0,0,0.02,202.94,1,0.0,0.0,0,0.02
2024-08-07,0.0,0.0,0,0.0,0.0,0,0.3066666666666667,6104.58,1,0.3066666666666667
2024-08-13,0.0,0.0,0,0.01,122.45,1,0.0,0.0,0,0.01
2024-08-16,0.0,0.0,0,0.0,116.02,1,0.0,0.0,0,0.0
2024-08-21,0.0,0.0,0,0.0,0.0,0,0.013333333333333334,322.29,1,0.013333333333333334
2024-08-23,0.0,0.0,0,-0.24,-3548.26,1,0.0,0.0,0,-0.24
2024-08-27,0.0,0.0,0,0.0,0.0,0,0.0,114.8,1,0.0
2024-08-28,6.411764705882353,7124.82,1,0.0,0.0,0,0.0,0.0,0,6.411764705882353
2024-08-30,-0.7352941176470588,-1267.28,1,0.0,0.0,0,0.0,0.0,0,-0.7352941176470588
2024-09-02,0.0,0.0,0,0.0,0.0,0,-0.006666666666666667,-278.23,1,-0.006666666666666667
2024-09-04,0.0,0.0,0,0.0,0.0,0,-0.04,-1290.12,1,-0.04
2024-09-05,-0.7352941176470588,-1258.76,1,0.0,0.0,0,0.0,0.0,0,-0.7352941176470588
2024-09-06,-0.676470588235294,-1249.1,1,0.0,0.0,0,0.0,0.0,0,-0.676470588235294
2024-09-11,-0.6470588235294117,-1256.91,1,0.0,0.0,0,0.0,0.0,0,-0.6470588235294117
2024-09-13,0.0,0.0,0,-0.19999999999999998,-3277.65,3,0.0,0.0,0,-0.19999999999999998
2024-09-17,-0.7352941176470588,-1247.09,1,-0.17,-3484.73,1,0.0,0.0,0,-0.9052941176470588
2024-09-18,-0.7058823529411764,-1235.8,1,0.0,0.0,0,0.0,0.0,0,-0.7058823529411764
2024-09-20,0.0,0.0,0,0.01,115.15,1,0.0,0.0,0,0.01
2024-09-23,0.0,0.0,0,0.0,0.0,0,-0.04,-1213.09,1,-0.04
2024-09-27,0.0,0.0,0,0.36,8638.17,1,0.0,0.0,0,0.36
2024-10-02,8.647058823529411,12227.16,1,0.0,0.0,0,0.0,0.0,0,8.647058823529411
2024-10-11,0.0,0.0,0,0.06999999999999999,-4591.379999999999,2,0.0,0.0,0,0.06999999999999999
2024-10-14,-0.47058823529411764,-1281.29,1,0.0,0.0,0,0.0,0.0,0,-0.47058823529411764
2024-10-18,0.0,0.0,0,0.0,114.06,1,0.0,0.0,0,0.0
2024-10-22,0.0,0.0,0,0.01,232.56,2,0.0,0.0,0,0.01
2024-10-23,11.441176470588236,23881.73,1,0.0,0.0,0,0.0,0.0,0,11.441176470588236
2024-10-31,-0.4411764705882352,-1378.24,1,0.0,0.0,0,0.0,0.0,0,-0.4411764705882352
2024-11-01,0.0,0.0,0,-0.26,-4471.5,1,0.0,0.0,0,-0.26
2024-11-05,0.0,0.0,0,0.24,5874.28,1,-0.006666666666666667,-174.22,1,0.23333333333333334
2024-11-08,0.0,0.0,0,0.21,5516.76,1,0.0,0.0,0,0.21
2024-11-12,0.0,0.0,0,-0.22,-5933.42,1,0.0,0.0,0,-0.22
2024-11-19,0.0,0.0,0,0.01,123.28,1,0.0,0.0,0,0.01
2024-11-20,0.0,0.0,0,0.0,0.0,0,-0.04,-1672.04,1,-0.04
2024-11-21,-0.6176470588235293,-1357.15,1,0.0,0.0,0,0.0,0.0,0,-0.6176470588235293
2024-11-22,0.0,0.0,0,-0.22,-4387.31,1,0.0,0.0,0,-0.22
2024-11-24,-0.7058823529411764,-1352.79,1,0.0,0.0,0,0.0,0.0,0,-0.7058823529411764
2024-11-27,0.0,0.0,0,0.0,0.0,0,0.013333333333333334,256.54,1,0.013333333333333334
2024-11-29,0.0,0.0,0,0.19,793.4899999999998,2,0.0,0.0,0,0.19
