date,daily_contrib,rolling_sharpe,strategy,window
2025-10-15,0.0,2.667768829887415,guardian,90
2025-10-16,0.0,2.667768829887415,guardian,90
2025-10-17,0.0,2.667768829887415,guardian,90
2025-10-20,0.0,2.737669969571607,guardian,90
2025-10-21,-0.0046,2.698772674970559,guardian,90
2025-10-22,0.0,2.698772674970559,guardian,90
2025-10-23,0.0,2.698772674970559,guardian,90
2025-10-24,0.0,2.698772674970559,guardian,90
2025-10-27,0.0,2.755170284846295,guardian,90
2025-10-28,0.0,2.755170284846295,guardian,90
2025-10-29,0.0,2.755170284846295,guardian,90
2025-10-30,0.0,2.755170284846295,guardian,90
2025-10-31,0.0,2.755170284846295,guardian,90
2025-11-03,-0.0069,2.6216726934081125,guardian,90
2025-11-04,0.0,2.6216726934081125,guardian,90
2025-11-05,0.0,2.6216726934081125,guardian,90
2025-11-06,-0.0021999999999999997,2.5808883528846414,guardian,90
2025-11-07,0.0,2.5808883528846414,guardian,90
2025-11-10,0.0,2.5808883528846414,guardian,90
2025-11-11,0.0,2.5808883528846414,guardian,90
2025-11-12,0.0,2.5808883528846414,guardian,90
2025-11-13,0.057199999999999994,3.1691202448392732,guardian,90
2025-11-14,0.0,3.1691202448392732,guardian,90
2025-11-17,0.0,3.1691202448392732,guardian,90
2025-11-18,0.0,3.1691202448392732,guardian,90
2025-11-19,0.0,3.1691202448392732,guardian,90
2025-11-20,0.0,3.1691202448392732,guardian,90
2025-11-21,0.0,3.1691202448392732,guardian,90
2025-11-24,0.0,3.1691202448392732,guardian,90
2025-11-25,0.0,3.1691202448392732,guardian,90
2025-11-26,0.0,3.1691202448392732,guardian,90
2025-11-27,0.0,3.1691202448392732,guardian,90
2025-11-28,0.0,3.1691202448392732,guardian,90
2025-12-01,0.0,3.1691202448392732,guardian,90
2025-12-02,0.0,3.1691202448392732,guardian,90
2025-12-03,0.0,3.1691202448392732,guardian,90
2025-12-04,0.0,3.1691202448392732,guardian,90
2025-12-05,0.0,3.1691202448392732,guardian,90
2025-12-08,0.013,3.3528738817956656,guardian,90
2025-12-09,-0.0023,3.346270891336236,guardian,90
2025-12-10,-0.0028000000000000004,3.300662989979956,guardian,90
2025-12-11,0.0,3.3396145430104647,guardian,90
2025-12-12,0.0,3.3903492947591403,guardian,90
2025-12-15,0.0,3.3903492947591403,guardian,90
2025-12-16,0.0,3.3903492947591403,guardian,90
2025-12-17,0.0,3.3903492947591403,guardian,90
2025-12-18,0.0,3.3903492947591403,guardian,90
2025-12-19,0.0,3.3903492947591403,guardian,90
2025-12-22,0.0,3.3903492947591403,guardian,90
2025-12-23,0.0,3.3903492947591403,guardian,90
2025-12-24,-0.0035,3.332882899567811,guardian,90
2025-12-25,0.0,3.360341094620198,guardian,90
2025-12-26,0.0,3.360341094620198,guardian,90
2025-12-29,0.0,3.3780336553428176,guardian,90
2025-12-30,0.0,3.40719530388852,guardian,90
2025-12-31,0.0,3.40719530388852,guardian,90
2026-01-01,0.0,3.40719530388852,guardian,90
2026-01-02,0.0,3.40719530388852,guardian,90
2026-01-05,-0.0028000000000000004,2.9544361462300732,guardian,90
2026-01-06,0.0,2.9544361462300732,guardian,90
2026-01-07,0.0,2.9544361462300732,guardian,90
2026-01-08,0.0,2.9544361462300732,guardian,90
2026-01-09,0.0,2.9544361462300732,guardian,90
2026-01-12,0.0,2.9544361462300732,guardian,90
2026-01-13,0.0,2.4360438255100787,guardian,90
2026-01-14,0.0,2.4360438255100787,guardian,90
2026-01-15,0.0,2.4360438255100787,guardian,90
2026-01-16,0.0,2.4360438255100787,guardian,90
2026-01-19,0.0,2.4360438255100787,guardian,90
2026-01-20,0.0356,2.8888884783611473,guardian,90
2026-01-21,0.0,2.8888884783611473,guardian,90
2026-01-22,-0.0026,2.8425657601729517,guardian,90
2026-01-23,0.0,2.8425657601729517,guardian,90
2026-01-26,-0.0087,2.2207898342290004,guardian,90
2026-01-27,-0.0048,2.180637231055715,guardian,90
2026-01-28,0.08869999999999999,2.7545100560233218,guardian,90
2026-01-29,-0.0195,2.464889073211737,guardian,90
2026-01-30,0.0,2.464889073211737,guardian,90
2026-02-02,0.0,2.464889073211737,guardian,90
2026-02-03,0.0,2.494254838766371,guardian,90
2026-02-04,0.0,2.494254838766371,guardian,90
2026-02-05,0.0,2.494254838766371,guardian,90
2026-02-06,0.0,2.494254838766371,guardian,90
2026-02-09,0.0,2.494254838766371,guardian,90
2026-02-10,0.0,2.494254838766371,guardian,90
2026-02-11,0.0,2.494254838766371,guardian,90
2026-02-12,-0.0067,2.4027656938177815,guardian,90
2026-02-13,0.0,2.4027656938177815,guardian,90
2026-02-16,0.0,1.809101974099574,guardian,90
2026-02-17,0.0,1.852515482491413,guardian,90
2026-02-18,0.0,1.852515482491413,guardian,90
2026-02-19,-0.0031,1.80606756973302,guardian,90
2026-02-20,0.0,1.80606756973302,guardian,90
2026-02-23,0.0,1.80606756973302,guardian,90
2026-02-24,0.0,1.87551633264444,guardian,90
2026-02-25,0.0,1.87551633264444,guardian,90
2026-02-26,0.0,1.87551633264444,guardian,90
2026-02-27,0.0,1.87551633264444,guardian,90
2026-03-02,0.0,1.87551633264444,guardian,90
2026-03-03,-0.0063,1.779727148337339,guardian,90
2026-03-04,0.0,1.779727148337339,guardian,90
2026-03-05,0.0,1.779727148337339,guardian,90
2026-03-06,0.0,1.779727148337339,guardian,90
2026-03-09,0.0,1.8849647485058718,guardian,90
2026-03-10,0.0,1.8849647485058718,guardian,90
2026-03-11,0.0,1.8849647485058718,guardian,90
2026-03-12,-0.0024,1.8819387963772944,guardian,90
2026-03-13,0.0,1.8819387963772944,guardian,90
2026-03-16,0.0,1.8819387963772944,guardian,90
2026-03-17,0.0,1.8819387963772944,guardian,90
2026-03-18,0.0,1.8819387963772944,guardian,90
2026-03-19,0.0,1.20285618580387,guardian,90
2026-03-20,0.0,1.20285618580387,guardian,90
2026-03-23,0.0,1.20285618580387,guardian,90
2026-03-24,0.0,1.20285618580387,guardian,90
2026-03-25,0.0,1.20285618580387,guardian,90
2026-03-26,0.0,1.20285618580387,guardian,90
2026-03-27,0.0,1.20285618580387,guardian,90
2026-03-30,-0.0063999999999999994,1.0928324490058308,guardian,90
2026-03-31,0.0,1.0928324490058308,guardian,90
2026-04-01,0.0,1.0928324490058308,guardian,90
2026-04-02,0.0,1.0928324490058308,guardian,90
2026-04-03,0.0,1.0928324490058308,guardian,90
2026-04-06,-0.004699999999999999,1.0128322151609372,guardian,90
2026-04-07,0.0,1.0128322151609372,guardian,90
2026-04-08,0.0,1.0128322151609372,guardian,90
2026-04-09,0.0,1.0128322151609372,guardian,90
2026-04-10,0.0,1.0128322151609372,guardian,90
2026-04-13,0.0,0.8021238888486931,guardian,90
2026-04-14,0.0,0.8411352409148396,guardian,90
2026-04-15,0.0,0.8887402933156696,guardian,90
2026-04-16,0.0,0.8887402933156696,guardian,90
2026-04-17,0.0,0.8887402933156696,guardian,90
2026-04-20,0.0369,1.418247376674654,guardian,90
2022-05-09,0.0,-0.647543320785627,striker,90
2022-05-10,0.0,-0.4300378162804671,striker,90
2022-05-11,0.0,-0.4300378162804671,striker,90
2022-05-12,0.0,-0.4300378162804671,striker,90
2022-05-13,0.0,-0.06528675956967951,striker,90
2022-05-16,0.0,-0.06528675956967951,striker,90
2022-05-17,0.0,-0.06528675956967951,striker,90
2022-05-18,0.0,-0.06528675956967951,striker,90
2022-05-19,0.0,-0.06528675956967951,striker,90
2022-05-20,0.0,-0.06528675956967951,striker,90
2022-05-23,0.0,-0.06528675956967951,striker,90
2022-05-24,0.0,-0.06528675956967951,striker,90
2022-05-25,0.0,-0.06528675956967951,striker,90
2022-05-26,0.0,-0.06528675956967951,striker,90
2022-05-27,-0.0001,-0.08160491645790593,striker,90
2022-05-30,0.0,-0.08160491645790593,striker,90
2022-05-31,0.0001,-0.06528047917179236,striker,90
2022-06-01,0.0,-0.06528047917179236,striker,90
2022-06-02,0.0,-0.06528047917179236,striker,90
2022-06-03,0.0,-0.09794060987391044,striker,90
2022-06-06,0.0,-0.09794060987391044,striker,90
2022-06-07,0.0001,-0.08161276820156173,striker,90
2022-06-08,0.0,-0.08161276820156173,striker,90
2022-06-09,0.0,-0.08161276820156173,striker,90
2022-06-10,0.0,0.4456533842536987,striker,90
2022-06-13,0.0,0.4456533842536987,striker,90
2022-06-14,0.0,0.4456533842536987,striker,90
2022-06-15,0.0,0.4456533842536987,striker,90
2022-06-16,0.0,0.4456533842536987,striker,90
2022-06-17,0.0,0.4456533842536987,striker,90
2022-06-20,0.0,0.4456533842536987,striker,90
2022-06-21,0.0005,0.5307415400313135,striker,90
2022-06-22,0.0,0.5307415400313135,striker,90
2022-06-23,0.0,0.5307415400313135,striker,90
2022-06-24,0.0001,0.5478535354665522,striker,90
2022-06-27,0.0,0.5478535354665522,striker,90
2022-06-28,0.0,0.5478535354665522,striker,90
2022-06-29,0.0,0.5478535354665522,striker,90
2022-06-30,0.0,0.5478535354665522,striker,90
2022-07-01,0.0,-1.8794933610498454,striker,90
2022-07-04,0.0,-1.8794933610498454,striker,90
2022-07-05,0.0,-1.8794933610498454,striker,90
2022-07-06,0.0,-1.8794933610498454,striker,90
2022-07-07,0.0,-1.8794933610498454,striker,90
2022-07-08,0.0,-1.8794933610498454,striker,90
2022-07-11,0.0,-1.8794933610498454,striker,90
2022-07-12,0.0,-1.8794933610498454,striker,90
2022-07-13,0.0,-1.8794933610498454,striker,90
2022-07-14,0.0,-1.8794933610498454,striker,90
2022-07-15,0.0001,-1.8431245833224892,striker,90
2022-07-18,0.0,-1.8431245833224892,striker,90
2022-07-19,0.0022,0.4330235623705662,striker,90
2022-07-20,0.0,0.4330235623705662,striker,90
2022-07-21,0.0,0.4330235623705662,striker,90
2022-07-22,0.0,2.585534471483604,striker,90
2022-07-25,0.0,2.585534471483604,striker,90
2022-07-26,0.0,2.585534471483604,striker,90
2022-07-27,0.0,2.585534471483604,striker,90
2022-07-28,0.0,2.585534471483604,striker,90
2022-07-29,0.0002,2.653631142747272,striker,90
2022-08-01,0.0,2.653631142747272,striker,90
2022-08-02,-0.0027,0.42322933881875613,striker,90
2022-08-03,0.0,0.423229338818756,striker,90
2022-08-04,0.0,0.423229338818756,striker,90
2022-08-05,0.0,0.423229338818756,striker,90
2022-08-08,0.0,0.423229338818756,striker,90
2022-08-09,0.0,0.423229338818756,striker,90
2022-08-10,0.0,0.423229338818756,striker,90
2022-08-11,0.0,0.423229338818756,striker,90
2022-08-12,0.0,0.37632576850089844,striker,90
2022-08-15,0.0,0.37632576850089844,striker,90
2022-08-16,0.0068,1.6588617601054474,striker,90
2022-08-17,0.0,1.6588617601054474,striker,90
2022-08-18,0.0,1.6588617601054474,striker,90
2022-08-19,0.0,1.6588617601054474,striker,90
2022-08-22,0.0,1.6588617601054474,striker,90
2022-08-23,0.0,1.6153001504208762,striker,90
2022-08-24,0.0,1.6153001504208762,striker,90
2022-08-25,0.0,1.6153001504208762,striker,90
2022-08-26,0.0,1.6153001504208762,striker,90
2022-08-29,0.0,1.6153001504208762,striker,90
2022-08-30,0.0,1.6153001504208762,striker,90
2022-08-31,0.0,1.6153001504208762,striker,90
2022-09-01,0.0,1.6153001504208762,striker,90
2022-09-02,0.0001,1.637220880753159,striker,90
2022-09-05,0.0,1.637220880753159,striker,90
2022-09-06,0.0,1.6153001504208762,striker,90
2022-09-07,0.0,1.6153001504208762,striker,90
2022-09-08,0.0,1.6153001504208762,striker,90
2022-09-09,0.0,1.6153001504208762,striker,90
2022-09-12,0.0,1.6153001504208762,striker,90
2022-09-13,0.0,1.6153001504208762,striker,90
2022-09-14,0.0,1.6153001504208762,striker,90
2022-09-15,0.0,1.6153001504208762,striker,90
2022-09-16,0.0,1.6153001504208762,striker,90
2022-09-19,0.0,1.6153001504208762,striker,90
2022-09-20,0.0,1.6153001504208762,striker,90
2022-09-21,0.0,1.6153001504208762,striker,90
2022-09-22,0.0,1.6153001504208762,striker,90
2022-09-23,0.0,1.6153001504208762,striker,90
2022-09-26,0.0,1.6153001504208762,striker,90
2022-09-27,0.0,1.6153001504208762,striker,90
2022-09-28,0.0,1.6153001504208762,striker,90
2022-09-29,0.0,1.6153001504208762,striker,90
2022-09-30,0.0,1.6375027228762233,striker,90
2022-10-03,0.0,1.6375027228762233,striker,90
