exit_time,rolling_pf,strategy
2022-11-22 11:00:00,3.2403100775193803,striker
2022-11-25 10:30:00,3.2403100775193803,striker
2022-11-29 10:45:00,2.9964157706093193,striker
2022-12-16 10:00:00,3.0000000000000004,striker
2022-12-20 11:00:00,3.0179211469534057,striker
2023-01-06 09:15:00,3.165413533834587,striker
2023-01-06 12:45:00,3.210526315789474,striker
2023-01-13 14:00:00,3.2142857142857144,striker
2023-01-20 11:30:00,3.218045112781955,striker
2023-01-24 11:00:00,3.2142857142857135,striker
2023-01-27 10:30:00,3.0105633802816896,striker
2023-02-03 11:15:00,3.3661417322834635,striker
2023-02-10 10:30:00,3.370078740157479,striker
2023-02-17 10:45:00,3.1014492753623175,striker
2023-03-05 18:00:00,3.137546468401487,striker
2023-03-05 18:00:00,3.137546468401487,striker
2023-03-24 13:00:00,3.6009852216748772,striker
2023-03-28 10:30:00,3.3378995433789957,striker
2023-03-31 12:30:00,3.4383561643835616,striker
2023-04-11 12:30:00,3.45662100456621,striker
2023-04-28 10:30:00,3.5799086757990866,striker
2023-04-28 12:15:00,3.5799086757990866,striker
2023-04-28 13:45:00,3.2803347280334725,striker
2023-05-09 10:00:00,3.0387596899224807,striker
2023-05-26 11:00:00,2.7765957446808507,striker
2023-06-04 19:45:00,3.2446808510638294,striker
2023-06-04 19:45:00,3.2446808510638294,striker
2023-06-06 11:00:00,3.070469798657718,striker
2023-06-09 10:30:00,3.070469798657718,striker
2023-06-27 12:30:00,3.0536912751677847,striker
2023-06-27 15:30:00,3.0032467532467533,striker
2023-06-27 15:30:00,3.0032467532467533,striker
2023-07-07 13:30:00,3.0584415584415585,striker
2023-07-11 12:15:00,3.0551948051948052,striker
2023-07-18 10:15:00,3.1363636363636367,striker
2023-07-18 12:15:00,3.141891891891892,striker
2023-07-18 12:15:00,3.141891891891892,striker
2023-07-25 13:00:00,3.1351351351351355,striker
2023-08-01 10:00:00,3.2907801418439715,striker
2023-08-04 11:45:00,3.2907801418439715,striker
2023-08-04 13:15:00,3.0933333333333337,striker
2023-08-11 10:45:00,2.936666666666667,striker
2023-08-18 11:30:00,2.72,striker
2023-08-18 13:15:00,2.5579937304075235,striker
2023-08-29 10:30:00,2.5548589341692787,striker
2023-08-29 12:30:00,2.557993730407523,striker
2023-09-08 10:30:00,2.5705329153605008,striker
2023-09-12 13:30:00,2.768025078369905,striker
2023-09-12 13:30:00,2.768025078369905,striker
2023-10-06 12:15:00,2.7398119122257056,striker
2023-10-10 10:30:00,3.113879003558719,striker
2023-10-10 13:00:00,3.1209964412811386,striker
2023-10-17 12:00:00,3.117437722419928,striker
2023-10-17 12:45:00,2.89108910891089,striker
2023-10-31 14:30:00,1.7745454545454544,striker
2023-11-03 13:15:00,1.7381818181818183,striker
2023-11-07 11:00:00,1.7854545454545454,striker
2023-11-07 12:00:00,1.698961937716263,striker
2023-11-14 11:45:00,1.7058823529411764,striker
2023-11-24 11:15:00,1.835820895522388,striker
2023-11-28 12:00:00,1.8544776119402984,striker
2023-12-01 12:00:00,1.8582089552238803,striker
2023-12-19 11:45:00,1.8503649635036497,striker
2023-12-19 11:45:00,1.8503649635036497,striker
2024-01-02 12:15:00,1.98,striker
2024-01-05 10:15:00,2.08,striker
2024-01-26 10:00:00,2.093117408906883,striker
2024-01-26 11:00:00,2.117408906882591,striker
2024-01-30 12:30:00,2.1422764227642275,striker
2024-02-20 10:00:00,2.3482142857142865,striker
2024-03-01 10:45:00,1.9910714285714284,striker
